DS_ID,DATASOURCE,UNIPROT_ID,GENE_SYMBOL,GENE_NAME,GENE_SYNONYMS,BIOMOLECULE_TYPE
,UniProtKB,Q6NVW1,EPHB2,EPHB2 protein,EPHB2,protein
,UniProtKB,Q6NVZ8,ZNG1E,CobW/HypB/UreG nucleotide-binding domain-containing protein,ZNG1E|CBWD5,protein
,UniProtKB,Q6NWU0,CYP2D6,Cytochrome P450,CYP2D6|cyp2d6,protein
,UniProtKB,Q6NX70,SCGB2A2,Secretoglobin family 2A member 2,SCGB2A2,protein
,UniProtKB,Q6NXR6,SETD3,protein-histidine N-methyltransferase,SETD3,protein
,UniProtKB,Q6P088,ZNF483,Zinc finger protein 483,ZNF483,protein
,UniProtKB,Q6P0N6,DST,SH3 domain-containing protein,DST,protein
,UniProtKB,Q6P163,APOC2,Apolipoprotein C-II,APOC2,protein
,UniProtKB,Q6P1M8,ASXL1,HTH HARE-type domain-containing protein,ASXL1,protein
,UniProtKB,Q6P2C6,MLLT6,"MLLT6, PHD finger containing",MLLT6,protein
,UniProtKB,Q6P2G0,ADAM2,Disintegrin and metalloproteinase domain-containing protein 2,ADAM2|hCG_38684,protein
,UniProtKB,Q6P2R3,CEP57L1,Cep57 centrosome localisation domain-containing protein,CEP57L1|C6orf182|hCG_34126,protein
,UniProtKB,Q6P2S0,SRP9,Signal recognition particle 9 kDa protein,SRP9,protein
,UniProtKB,Q6P452,ANXA4,Annexin,ANXA4,protein
,UniProtKB,Q6P4D7,TM6SF1,EXPERA domain-containing protein,TM6SF1,protein
,UniProtKB,Q6P4E4,RPL37A,"cDNA FLJ76565, highly similar to Homo sapiens ribosomal protein L37a, mRNA",RPL37A,protein
,UniProtKB,Q6P4H7,PSME3IP1,FAM192A/Fyv6 N-terminal domain-containing protein,PSME3IP1|NIP30,protein
,UniProtKB,Q6P521,FAM13A,Rho-GAP domain-containing protein,FAM13A,protein
,UniProtKB,Q6P5Q6,LIAS,Lipoyl synthase N-terminal domain-containing protein,LIAS,protein
,UniProtKB,Q6P5T0,AQP7,AQP7 protein,AQP7|hCG_2011318,protein
,UniProtKB,Q6P5W7,OPN3,G-protein coupled receptors family 1 profile domain-containing protein,OPN3|hCG_1989351,protein
,UniProtKB,Q6P664,HEATR1,HEAT repeat-containing protein 1,HEATR1,protein
,UniProtKB,Q6P6D5,MYT1,Myelin transcription factor 1 domain-containing protein,MYT1,protein
,UniProtKB,Q6P7P1,ATM,Telomere-length maintenance and DNA damage repair domain-containing protein,ATM,protein
,UniProtKB,Q6PEW3,ATP10D,P-type ATPase N-terminal domain-containing protein,ATP10D,protein
,UniProtKB,Q6PID9,ACAN,Aggrecan,ACAN,protein
,UniProtKB,Q6PIY2,POLM,DNA-directed DNA/RNA polymerase mu,POLM,protein
,UniProtKB,Q6PJ65,TSPAN10,TSPAN10 protein,TSPAN10,protein
,UniProtKB,Q6PJ72,LRP1,EGF-like domain-containing protein,LRP1,protein
,UniProtKB,Q6PJG3,LATS1,LATS1 protein,LATS1,protein
,UniProtKB,Q6PJI1,KIF9,Kinesin motor domain-containing protein,KIF9,protein
,UniProtKB,Q6QJ80,AICDA,CMP/dCMP-type deaminase domain-containing protein,AICDA,protein
,UniProtKB,Q6R5J7,EPB41L2,Erythrocyte membrane protein band 4.1 like 2,EPB41L2,protein
,UniProtKB,Q6R954,POLDIP3,DNA polymerase delta interacting protein 3,POLDIP3|PDIP46,protein
,UniProtKB,Q6TCH8,ME3,Malic enzyme N-terminal domain-containing protein,ME3,protein
,UniProtKB,Q6UWF4,MFSD13A,GLGQ5807,MFSD13A|UNQ5807,protein
,UniProtKB,Q6V3B1,MAX,BHLH domain-containing protein,MAX,protein
,UniProtKB,Q6Y8G5,SALL4,C2H2-type domain-containing protein,SALL4,protein
,UniProtKB,Q6ZMY6,WDR88,WD repeat-containing protein 88,WDR88|PQWD,protein
,UniProtKB,Q6ZN40,TPM1,"Tropomyosin 1 (Alpha), isoform CRA_f",TPM1|hCG_33495,protein
,UniProtKB,Q6ZN50,OSBP2,Oxysterol-binding protein,OSBP2|hCG_41303,protein
,UniProtKB,Q6ZQX6,TPK1,thiamine diphosphokinase,TPK1,protein
,UniProtKB,Q6ZR19,PTPRB,Fibronectin type-III domain-containing protein,PTPRB,protein
,UniProtKB,Q6ZSL4,SFRP1,NTR domain-containing protein,SFRP1|hCG_2044540,protein
,UniProtKB,Q6ZSL5,DOCK9,Dedicator of cytokinesis 9,DOCK9,protein
,UniProtKB,Q6ZSX4,EPB41L2,Erythrocyte membrane protein band 4.1 like 2,EPB41L2,protein
,UniProtKB,Q6ZW95,KCNK2,"cDNA FLJ41415 fis, clone BRHIP2001805, moderately similar to Homo sapiens TREK-1 potassium channel (KCNK2) mRNA",KCNK2,protein
,UniProtKB,Q6ZWE5,SLC16A14,Major facilitator superfamily (MFS) profile domain-containing protein,SLC16A14,protein
,UniProtKB,Q6ZWG5,ACTMAP,Actin maturation protease,ACTMAP|FLJ41131|hCG_20793,protein
